"","hit","speed","hprice","price","time","qualif","title","desc","first","last","max","min","meanspeed","varspeed","group","date","order"
"253","26NJ8MZ9O9Z6L8AL9NQHORRONX4096",2.71794871794872,0.00833333333333333,0.05,21600,"[ """"]","Classify degraded images: car","Look at degraded images and classify them as being a car or not",1,14,944,626,-2.71794871794872,223.102564102564,32,"2014-01-29-23-35",1
"254","26NJ8MZ9O9Z6M7V3WMQHMRTLKU609Y",2.55555555555556,0.05,0.05,3600,"[ ""HIT approval rate (%) is not less than 95""]","Verify if this location is a venue, if so find it&#39;s Twitter handle and website (Client BMKMMQH)","Use the information below to determine whether the location is a specific venue. An example of a venue would be a specific nightclub, an example of something that is not a venue would be a location that just gives a city. If the location IS NOT a venue then select &quot;False&quot; and enter &quot;NONE&quot; (all caps) for &quot;Venue Twitter URL&quot;, &quot;Venue Website&quot; and &quot;Verified Name&quot;. If the location IS a venue then select &quot;True&quot; and do the following: • Fill in the Twitter Handle, where applicable. Twitter handles should include full URL, ex. https://twitter.com/rubyskyesf is the full URL for &quot;RubySkyeSF&quot;. If you cannot find the Twitter URL then enter &quot;NONE&quot; (all caps) • Fill in the official Venue website, where applicable. If you cannot find the handle then enter &quot;NONE&quot; (all caps) • Verify that the name of the venue under &quot;Name&quot; is correct. If so, copy paste the name into the &quot;Verified Name&quot; field, otherwise change the name as needed (e.g. if name was &quot;Ruby Sky&quot; but the real name is &quot;Ruby Skye&quot; then update it) Google tends to work well for finding the website and Twitter handle, but feel free to use a search engine of your choosing.",2,6,902,810,-2.55555555555556,90,283,"2014-02-07-04-55",2
"255","26NJ8MZ9O9Z6SO92D4QHLRSPLX1093",0,0.16,0.08,1800,"[ ""HIT approval rate (%) is greater than 96""]","Evaluation of Topic Labels","You will be presented with word sets, each of which represents a topic/subject together with a label that can be used to summarise the topic (expressing its meaning). You should judge the quality of each topic-label pair on a scale from 3 (Very Good) to 0 (Inappropriate):",2,15,294,294,0,0.166666666666667,69,"2013-11-25-17-26",1
"256","26NJ8MZ9O9Z6SO92D4QHLRSPMZ609D",0.021978021978022,0.24,0.02,300,"[ ""HIT approval rate (%) is greater than 96""]","Choose the valid RELATION(s) between the TERMS in the SENTENCE","STEP 1: Read the SENTENCE below and select all the RELATION TYPE(s) that you think are expressed between the TWO HIGHLIGHTED WORDS in the text.",3,13,682,680,-0.0222222222222222,1.06666666666667,31,"2013-12-05-11-59",4
"257","26NJ8MZ9O9Z6SO92D4QHLRSPNT209Y",0.555555555555556,3,0.5,600,"[ ""HIT approval rate (%) is greater than 96"" , ""Location is US""]","Help with Maryland survey study","###Overview",7,14,349,314,-0.555555555555556,206,177,"2013-12-10-00-11",1
"258","26NJ8MZ9O9Z6V0313QQHRRRNFT809E",NA,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,160,160,NA,NA,15,"2014-01-10-06-01",101
"259","26NJ8MZ9O9Z6X11536QHMRTLGU309B",1.83333333333333,0.1,0.1,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,3,281,248,-1.83333333333333,0.5,15,"2013-12-18-16-01",37
"260","26NJ8MZ9O9Z6XPP7GUQHORRPGX309I",0,0.144,0.06,1500,"[ ""Total approved HITs is not less than 50"" , ""HIT approval rate (%) is not less than 98""]","Collect information about Computer Science faculty members","Find information about given Computer Science faculty members",3,12,120,120,0,0.5,35,"2014-02-06-03-06",2
"261","26NJ8MZ9O9Z6ZSCH3QQHPRRQLV390P",0.267857142857143,0.02,0.02,3600,"[ ""Masters has been granted""]","Count the number of comments on this article","All you need to do is count the total number of comments left on the article",3,58,290,155,-0.272727272727273,13.993265993266,47,"2013-12-04-03-08",1
"262","26NJ8MZ9O9ZAGVVJ39QHQRRNLS9904",NA,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,2370,2370,NA,NA,15,"2014-01-08-20-33",34
"263","26NJ8MZ9O9ZAO67IU1QHRRRMOS790J",2.69907407407407,0.1,0.1,3600,"[ ""Total approved HITs is not less than 10000"" , ""HIT approval rate (%) is not less than 97""]","Find the description of a school on its webpage","Given a school information, find the description of the school from its official website. Collect the description and the URL where the description was found.",2,25,849,266,-2.81642512077295,123.782608695652,121,"2013-12-03-23-59",2
"264","26NJ8MZ9O9ZBQHCSMLQHRRRNGZ009M",0.0555555555555556,0.3,0.05,600,"[ """"]","Imagination Test","Guess the missing word",1,5,80,78,-0.0555555555555556,1,186,"2014-02-07-20-13",3
"265","26V8XBAT2D5N2OCE0BH0OG7T1TP15Q",0.444444444444444,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,4,231,219,-0.444444444444444,3,15,"2014-01-25-13-12",102
"266","26V8XBAT2D5N3BLO8GH0SG5V4SW15Q",0.00022212350066637,0.00291666666666667,0.07,86400,"[ ""Masters has been granted""]","Describe an image","Please view and write a tag for an image",28,528,100,99,-0.000222222222222222,0.00600801603206413,49,"2014-01-17-06-13",4
"267","26V8XBAT2D5N3JRQ8VH0SG5V4OP51Z",0.833333333333333,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",3,25,407,242,-0.833333333333333,53.6904761904762,15,"2013-12-31-09-49",103
"268","26V8XBAT2D5N3KGMOEH0UG5T1VU15A",24.0493827160494,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",2,11,4727,2779,-24.0493827160494,1012.27777777778,15,"2013-12-16-20-48",22
"269","26V8XBAT2D5N9F801TH0RG5Y5NU51W",NA,0.05,0.1,7200,"[ ""Total approved HITs is not less than 100"" , ""HIT approval rate (%) is not less than 95""]","Find the contact information for a website","Given the URL, find the contact information",3,3,41,41,NA,NA,119,"2014-01-06-16-37",2
"270","26V8XBAT2D5N9YTYKWH0RG5Y5OT151",NA,0.06,0.06,3600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 97""]","Compare colors in an image","Given pairs of points in images, your job is to decide which of two points is darker. (updated 2014-01-12 20:46:34.358437+00:00)",1,1,53,53,NA,NA,37,"2014-01-13-00-11",32
"271","26V8XBAT2D5NDEHWJEH0SG5V3SQ51M",0.0384615384615385,2.7,0.09,120,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 95""]","Find Contact Information for this Article&#39;s Author","Given the URL of the article, find the contact information of the author of the article",3,29,209,200,-0.0384615384615385,3.59538461538462,92,"2013-12-09-19-41",3
"272","26V8XBAT2D5NEWB6LAH0UG5TYNO158",2.22222222222222,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,5,979,899,-2.22222222222222,54,15,"2014-02-10-01-38",78
"273","26V8XBAT2D5NLZ26N8H0NG514VU51F",NA,0.124137931034483,0.05,1450,"[ ""HIT approval rate (%) is greater than 95""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [3]",9,9,94,94,NA,NA,219,"2014-01-14-12-30",20
"274","26V8XBAT2D5NLZ26N8H0NG6UZRW51R",NA,0.149791955617198,0.06,1442,"[ ""HIT approval rate (%) is greater than 90""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [2]",1,1,17,17,NA,NA,219,"2013-12-30-18-40",41
"275","26V8XBAT2D5NLZ26N8H0NG6YYUR15V",NA,0.149308755760369,0.09,2170,"[ ""HIT approval rate (%) is greater than 90"" , ""Location is US""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [2]",3,3,88,88,NA,NA,219,"2014-01-05-00-25",13
"276","26V8XBAT2D5NQWHQ0BH0TG5VYUV15Z",NA,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,189,189,NA,NA,15,"2014-01-20-17-30",11
"277","26V8XBAT2D5NR5IQGEH0QG5XYQV15Y",1.34074074074074,1.8,0.3,600,"[ ""Masters has been granted""]","Find the Website and Email Address for Restaurants","Given the restaurant/business information, find the email address for the business, URL for their official website, and Open Table URL (if applicable).",560,590,499,137,-1.34074074074074,36.4781609195402,155,"2013-12-30-22-43",2
"278","26V8XBAT2D5NVESSC8H0TG5VYVW15S",0,0.04,0.02,1800,"[ ""Masters has been granted""]","Find Information for a Professor","Given the name of a professor and his/her webpage link, find required information on the page",1,16,91,91,0,0,105,"2014-01-30-12-20",1
"279","26V8XBAT2D5NVTRZ4KH0UG5T3SP154",0.00933544303797468,0.02,0.02,3600,"[ ""Total approved HITs is not less than 0"" , ""HIT approval rate (%) is not less than 90""]","Find the Name and Email Address of Professors","Given the search results for the Director/or Chair of Latin American Studies at the University, find only the last name (surname) and email address of the most relevant Professor",40,742,499,440,-0.00933839822728712,0.336720842426977,136,"2014-02-05-21-24",1
"280","26V8XBAT2D5NVTRZ4KH0UG5T3VP15A",0.0142072973845657,0.04,0.04,3600,"[ ""Total approved HITs is not less than 0"" , ""HIT approval rate (%) is not less than 90""]","Find the Name and Email Address of Professors","Given the search results for the Director/or Chair of Latin American Studies at the University, find only the last name (surname) and email address of the most relevant Professor",20,364,500,456,-0.0142118863049096,0.881551291612991,136,"2014-02-08-09-07",2
"281","26V8XBAT2D5NY3PV20H0RG5Y4UQ15O",1.24867724867725,0.6,0.15,900,"[ ""Qualified to work on Transcription Tasks is not less than 90"" , ""HIT approval rate (%) is not less than 95""]","Transcribe up to 25 Seconds of Media to Text - General Content, Medium Priority","Transcribe up to 25 seconds of audio into text - General Content",1668,1689,8949,8713,-1.24867724867725,45.8904761904762,272,"2013-12-15-06-14",1
"282","26V8XBAT2D5NYQS86XH0NG6X5NT15A",0.0174418604651163,0.05,0.1,7200,"[ ""HIT approval rate (%) is greater than 96""]","Are these search phrases inappropriate?","Determine if a search phrase is offensive.",9,28,993,990,-0.0175438596491228,19.8070175438597,7,"2013-11-27-01-15",1
"283","26V8XBAT2D5NYQS86XH0NG6X5RW51P",0,0.0685714285714286,0.08,4200,"[ ""HIT approval rate (%) is greater than 96""]","Are these YouTube channels categorized correctly?","Is suggested Category right for this YouTube channel?",54,664,998,998,0,0.96551724137931,8,"2013-12-02-23-13",2
"284","26V8XBAT2D5NYQS86XH0NG6X5SS51N",0.00854700854700855,0.1,0.05,1800,"[ ""HIT approval rate (%) is greater than 96""]","Baltimore","Please answer the following questions to the best of your ability.",2,15,922,921,-0.00854700854700855,2.24358974358974,13,"2013-12-02-19-01",1
"285","26V8XBAT2D5NYQS86XH0NG6X5TO15H",NA,0.6,0.45,2700,"[ ""HIT approval rate (%) is greater than 96""]","Research Survey: How would you like your butler to help in your kitchen?","It is hard for robots to know what tasks are more urgent in different situations. We need your help rating several tasks that your robot should do in your kitchen. Please look at each picture and consider how many objects you see. What would you want the robot to do most urgently? What would you NOT want the robot to do (e.g. because it is annoying or there is no time)? Please rate each task from 1 to 4.",1,1,212,212,NA,NA,234,"2013-12-02-22-46",3
"286","26V8XBAT2D5NYQS86XH0NG6X5UV51U",0,0.12,0.09,2700,"[ ""Location is not VN"" , ""Location is not TR"" , ""Location is not RO"" , ""Location is not PK"" , ""Location is not PH"" , ""Location is not IR"" , ""Location is not IN"" , ""Location is not ID"" , ""HIT approval rate (%) is greater than 96""]","Encontrar páginas oficiales para negocios","En esta tarea nos ayudará a encontrar páginas oficiales para negocios.",41,746,1000,1000,0,0.153409090909091,59,"2013-12-04-23-05",3
"287","26V8XBAT2D5NZQGF92H0RG5X6PS15X",NA,0.5,0.5,3600,"[ ""HIT approval rate (%) is greater than 0"" , ""Total approved HITs is not less than 0""]","Research study : Butterfly Identification","The goal of this HIT is to identify whether the insect in the image is Butterfly or not.",1,1,476,476,NA,NA,232,"2013-09-23-08-51",1
"288","26V8XBAT2D5Q416G0CH0SG5V5PS15T",0,0.2,0.1,1800,"[ ""Answer Quality Curator has been granted""]","Assess whether these questions have the same answer.","Look at the questions provided. Do the questions have the same answer?",1,13,53,53,0,0.181818181818182,10,"2014-02-03-13-17",1
"289","26V8XBAT2D5Q4L7Z0MH0TG5U7OT51O",0.000292997363023733,0.4,0.4,3600,"[ ""Total approved HITs is greater than 500"" , ""News Article Bias Evaluation (Qualification Test) is 100"" , ""HIT approval rate (%) is greater than 95"" , ""Location is US""]","News Article Bias Evaluation","Read two news articles and answer brief questions about the relative amount of bias in each article.",21,400,187,186,-0.000293169158604515,0.00263852242744063,210,"2013-11-25-07-32",1
"290","26V8XBAT2D5QIL4RRIH0TG5VYOV51X",0.135265700483092,0.04,0.04,3600,"[ """"]","Find contact information for the Author of this article","Find contact information for the person who wrote this article",146,169,154,126,-0.135265700483092,10.9051383399209,89,"2014-01-07-12-35",2
"291","26V8XBAT2D5QIRHOF4H0SG5V4TU15M",17.6666666666667,0.05,0.05,3600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 95"" , ""Location is US""]","Reading Facial Expressions","Rate the emotions expressed in pictures",3,4,2450,2291,-17.6666666666667,NA,228,"2014-01-20-19-27",5
"292","26V8XBAT2D5QUQFDFMH0SG5V4VP157",0.0171473109898675,0.1,0.1,3600,"[ ""HIT approval rate (%) is greater than 75"" , ""Location is US""]","Label relationships between objects","Annotate an image by deciding how objects are related to each other. In this task you will label &quot;above&quot; relationships.",16,301,100,56,-0.0171539961013645,0.419743019520633,197,"2014-01-21-00-24",1
"293","26V8XBAT2D5QUQFDFMH0SG5V4VR159",0.0123816460305899,0.1,0.1,3600,"[ ""HIT approval rate (%) is greater than 75"" , ""Location is US""]","Label relationships between objects","Annotate an image by deciding how objects are related to each other. In this task you will label &quot;supports&quot; relationships.",17,321,100,66,-0.0124269005847953,0.271278443633837,197,"2014-01-21-00-15",6
"294","26V8XBAT2D5RB6KZ7EH0UG5T2NV15X",0.000655307994757536,0.05,0.05,3600,"[ ""Masters has been granted""]","Find Contact Info for this Article&#39;s Writer","Please look for the email address and name of the author of these articles.",19,352,122,120,-0.000667334000667334,0.0361083975541807,87,"2013-12-22-19-12",1
"295","26V8XBAT2D5RMXEPW2H0SG5V4PT157",NA,0.1,0.1,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,398,398,NA,NA,15,"2014-01-10-22-22",8
"296","26V8XBAT2D5SU24DDQH0UG5T2VN51S",0.0963718820861678,0.36,0.03,300,"[ ""Location is not AL""]","Help us find the URL of these ads, EASY MONEY!","Below are 8 ads taken from popular web sites. We have answers to many of these, not all. Research the URL the ad was intended to redirect to. Cut and paste the URL from the browser window and paste it in the URL below the ad. You can submit the domain",7,105,786,701,-0.0963718820861678,7.88943824952661,173,"2014-01-23-06-53",2
"297","26V8XBAT2D5T33KRUOH0UG5T2ON51C",0.00186161960905988,0.05,0.05,3600,"[ ""Masters has been granted""]","Find the email addresses for Toy Manufacturers","Given the name of a business and industry contact database, find relevant email addresses.",39,740,67,55,-0.0019020446980504,0.0711351131037294,129,"2013-12-25-00-55",1
"298","26V8XBAT2D5TT0VBVWH0UG5T3SN15X",NA,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",4,4,1655,1655,NA,NA,15,"2014-02-06-02-12",54
"299","26V8XBAT2D5TX9QGO0H0UG5T2QT51U",NA,0.7,0.35,1800,"[ ""Masters has been granted"" , ""HIT approval rate (%) is not less than 95""]","Find events sponsored by brands","Look for events that are sponsored by the brands mentioned.",1,1,99,99,NA,NA,102,"2014-01-15-05-45",4
"300","26VVVOK5UFJ58M19KSQF4QS8GYV85M",0,0.03,0.03,3600,"[ ""Masters has been granted""]","Find the Key Topics Written About","Given the blog address, choose the key topics that the website discusses",14,251,278,278,0,0,134,"2014-01-03-07-18",1
"301","26VVVOK5UFJ59QCT5IQF2QT5ISU85T",0.00101188970402226,0.04,0.1,9000,"[ ""HIT approval rate (%) is greater than 96"" , ""Location is US""]","Choose the best category for the transaction description","&lt;div class=&quot;row-fluid&quot;&gt;",50,928,441,433,-0.00101240192356365,0.273577089009696,28,"2013-11-21-01-47",1
"302","26VVVOK5UFJ5BBJZGOQF6QS6IWV58I",0.444444444444444,0.006,0.06,36000,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 95""]","Find the Startups from University website","Given the university name, find the URL for the startups from that school using the instructions below",2,5,1775,1763,-0.444444444444444,31,147,"2013-12-03-15-07",1
"303","26VVVOK5UFJ5D05RMXQF2QT5L0T58W",0,0.3,0.15,1800,"[ ""MatchingMath is 1"" , ""HIT approval rate (%) is greater than 90"" , ""Location is US""]","Matching Math Problems (experiment)","Match up things in different math problems - don&#39;t need to solve!",13,245,100,100,0,0,207,"2013-12-22-07-20",1
"304","26VVVOK5UFJ5G0LD5CQF3QU1E1Z58V",0,0.01,0.01,3600,"[ ""Masters has been granted""]","Find Web Articles","Find Award-Winning Articles By Searching Google",5,81,933,933,0,0.0533333333333333,162,"2014-01-17-02-28",1
"305","26VVVOK5UFJ5G6VAOWQF7QS3HU258W",0.0047244094488189,0.45,0.03,240,"[ ""Masters has been granted""]","Find emails from web addresses and blogs","Given the URL of a blog or a webaddress find the email address of the blogger",10,151,7271,7265,-0.00472813238770686,2.16960486322188,101,"2013-11-27-19-43",1
"306","26VVVOK5UFJ5IBENXUQF9QS1FU258I",0,1.08,0.09,300,"[ ""Masters has been granted""]","Find nutrition facts for meals","Given a meal, find its nutrition facts (calories, fat, carbs, and protein)",19,343,140,140,0,0,108,"2013-11-23-13-40",3
"307","26VVVOK5UFJ5JBSTGZQF9QS1GVU850",0,0.03,0.03,3600,"[ ""Masters has been granted""]","Find Contact Information for article author","Given articles, author contact details required",1,5,242,242,0,0,88,"2014-01-06-12-07",1
"308","26VVVOK5UFJ5U3S543QF4QS8F1Z854",243.145593869732,0.02,0.02,3600,"[ ""Total approved HITs is not less than 50"" , ""HIT approval rate (%) is not less than 80""]","Find if Restaurant Takes Reservations","Given the restaurant name and location, find on Yelp whether the restaurant takes reservations",11,40,68462,5001,-243.145593869732,175446.435960591,104,"2013-12-03-03-43",2
"309","26VVVOK5UFJ5WOVZE9QF2QT6EZX85D",70.7555555555556,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",3,13,14784,8416,-70.7555555555555,66161.9555555556,15,"2014-01-24-05-32",18
"310","26VVVOK5UFJ5WZMRMTQF2QT6CZ058K",0,0.158590308370044,0.06,1362,"[ ""HIT approval rate (%) is greater than 90"" , ""Location is US""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [1]",1,2,26,26,0,NA,219,"2014-01-03-18-42",37
"311","26VVVOK5UFJ812NWL7QF7QS3IT085Y",0,0.04,0.04,3600,"[ ""Masters has been granted""]","Find the Phone Number and Website Address (URL) for Handymen in Texas","Given the Handyman information, find their official Website Address (URL) for this Texas Handyman",3,14,40,40,0,0,144,"2014-01-08-21-36",1
"312","26VVVOK5UFJ85QZYE7QF7QS3HU185P",0,0.00125,0.03,86400,"[ ""HIT approval rate (%) is greater than 75"" , ""Location is US""]","Label relationships between objects","Annotate an image by deciding how objects are related to each other. NOTE: If you cannot view the HIT, follow the instructions on this page: http://visualgenome.org/ssl_workaround/ In this task you will label &quot;supports&quot; relationships.",2,33,99,99,0,0,197,"2013-12-02-09-25",4
"313","26VVVOK5UFJ8GTGVDFQF7QS3HV058U",0.547169811320755,0.257142857142857,0.03,420,"[ ""Masters has been granted""]","Winnow desirable images","The worker selects pictures in which an object made of stone is photographed in a desirable style.",9,162,977,223,-0.547567175018155,45.0540075679395,287,"2013-11-26-09-03",3
"314","26VVVOK5UFJ8TLOCQ3QF8QS3CUX58D",0.240079365079365,0.05,0.05,3600,"[ """"]","Find contact information for the Author of this article","Find contact information for the person who wrote this article",3,57,155,34,-0.248971193415638,14.8654786862334,89,"2014-01-06-09-52",1
"315","26VVVOK5UFJ92BD2RJQF9QS1FWV588",0.385542168674699,0.6,0.3,1800,"[ """"]","Memorability Game","Test your memory of face images! $0.30 per 5 minute level. You can do multiple HITs one after another - it is a fun and interesting HIT!",4,50,330,170,-0.386473429951691,27.0550724637681,208,"2013-12-08-22-40",2
"316","26VVVOK5UFJA5PP0HBQF9QS1G1U58X",0.102507961783439,0.1,0.2,7200,"[ ""EcommerceNames has been granted""]","Find the name of the CEO or Marketing Person for this company","Given the URL for this company, find information on who works at the company.",32,590,4942,4427,-0.102548785344484,5.58291989215137,139,"2014-01-24-03-17",2
"317","279O8JIA0RYN298GODD0DBMO0XQ052",2.12222222222222,0.06,0.06,3600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 97""]","Compare colors in an image","Given pairs of points in images, your job is to decide which of two points is darker. (updated 2014-01-09 23:36:48.253287+00:00)",3,23,953,571,-2.12222222222222,186.094736842105,37,"2014-01-10-00-55",16
"318","279O8JIA0RYN2EH6JND0GBMJYVO051",0.611111111111111,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,3,604,593,-0.611111111111111,0.5,15,"2014-02-02-00-13",14
"319","279O8JIA0RYN2FV84KD0EBMLZVQ50A",NA,0.3,0.15,1800,"[ ""Total approved HITs is not less than 500"" , ""HIT approval rate (%) is not less than 95"" , ""Location is US""]","Compare Two Facial Expressions","Given two facial expressions from the same person, your task is to determine which facial expression is more attractive/serious.",2,2,71,71,NA,NA,40,"2014-01-02-11-56",5
"320","279O8JIA0RYN9IUVHLD0EBML0UN052",NA,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,500,500,NA,NA,15,"2014-01-29-06-02",15
"321","279O8JIA0RYNATO925D0ABOJVWI50T",0.203703703703704,0.05,0.05,3600,"[ """"]","Look at Pictures and answer a simple question","Help us better understand human cognition! You will view simple images and answer a question about them. In order to participate, you must have normal or corrected-to-normal vision(glasses if applicable) and be at least 18 years old.",25,97,185,53,-0.203703703703704,10.8732394366197,203,"2014-01-07-21-53",7
"322","279O8JIA0RYNDRI259D0GBMJXXO05S",0.0949844651575677,0.05,0.05,3600,"[ ""Masters has been granted"" , ""Location is US""]","ReferIt Game","Please label the boxed object so that another worker will be able to identify it.",138,1139,2012,1156,-0.095016095016095,15.977996003996,230,"2014-01-07-06-44",1
"323","279O8JIA0RYNEAHORPD09BMR0VP05T",0.555555555555556,0.147945205479452,0.03,730,"[ ""HIT approval rate (%) is greater than 90""]","Please select the correct choice for each question.","Please select the correct choice for each question",11,13,217,207,-0.555555555555556,8,217,"2013-12-31-13-16",5
"324","279O8JIA0RYNEAHORPD09BMRZ3Q059",0.462962962962963,0.136020151133501,0.03,794,"[ ""HIT approval rate (%) is greater than 90""]","Please transcribe the following words.","Please look at each written image and transcribe them in the provided text box. [2]",2,8,94,69,-0.462962962962963,2.16666666666667,219,"2014-01-11-02-34",60
"325","279O8JIA0RYNEAHORPD09BMRZYL05U",NA,0.0493150684931507,0.01,730,"[ ""HIT approval rate (%) is greater than 95""]","Please select the correct choice for each question.","Please select the correct choice for each question [2]",3,3,82,82,NA,NA,217,"2013-10-05-11-48",3
"326","279O8JIA0RYNHSTIQ6D08BMP23Q057",2.52777777777778,0.24,0.04,600,"[ ""Masters has been granted""]","Find the Website Address for Companies","Given the company name, find the official website",2,10,1374,1192,-2.52777777777778,682.5,153,"2014-01-09-20-51",2
"327","279O8JIA0RYNJW1WCPD0CBMNTYI05E",NA,0.3,0.05,600,"[ ""Total approved HITs is not less than 50"" , ""HIT approval rate (%) is not less than 90"" , ""Location is US""]","Label relationships between words","Label pairs of words based on the words&#39; relationship to one another.",1,1,54,54,NA,NA,199,"2013-12-23-23-06",3
"328","279O8JIA0RYNLKTRTWD0ABOJXZM057",0.888888888888889,0.1,0.1,3600,"[ ""HIT approval rate (%) is not less than 95""]","Please verify the venue name and add the corresponding twitter handle (Client BBHBMQH)","1. Google search for the venue with the name or address provided 2. Edit the name of the venue if incorrect 3. If listed address/name is not a venue check the not a venue box 4. Search for the twitter presence on google, eg. Venue Name, City, Twitter 5. If Twitter presence exists enter twitter handle 6. If not Twitter handle check box",2,3,151,143,-0.888888888888889,NA,220,"2014-02-01-02-00",3
"329","279O8JIA0RYNMLPPG6D09BNOVVL50B",4.58730158730159,0.25,0.25,3600,"[ ""Masters has been granted""]","Find the occupation of a twitter user","Given the Twitter account information, determine the occupation of the user",1,8,971,682,-4.58730158730159,384.571428571429,143,"2014-01-16-21-58",2
"330","279O8JIA0RYNN69LS2D0GBMJX2Q05A",0,0.18,0.03,600,"[ ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 95""]","Find Contact Information for this Article&#39;s Author","Go to the URL provided, find the author of the article, and return his/her contact information",2,5,574,574,0,0,92,"2014-01-18-05-20",1
"331","279O8JIA0RYNPML95TD0FBMLT1P50S",NA,0.13,0.13,3600,"[ """"]","Este anúncio está na categoria correta e é o preço certo?","Indique se o anúncio está na categoria correta. (SIM - NÃO)",1,1,55,55,NA,NA,65,"2014-01-24-20-05",1
"332","279O8JIA0RYNPML95TD0FBMLTXO05E",0.0349819059107358,0.13,0.13,3600,"[ ""Total approved HITs is greater than 500"" , ""HIT approval rate (%) is greater than 90""]","¿Esta publicación está ubicada en la categoría correcta y tiene un precio adecuado?","Indica si la publicación está ubicada en la categoría correcta. (SÍ - NO)",1129,1221,1192,1163,-0.035024154589372,1.71273291925466,1,"2014-01-09-23-33",1
"333","279O8JIA0RYNQXW6POD0BBMQYWH05I",0,0.06,0.06,3600,"[ ""Masters has been granted""]","Find the Key Topics Written About","Given the blog address, choose the key topics that the website discusses",2,36,278,278,0,0,134,"2014-01-20-05-21",5
"334","279O8JIA0RYNR17QAED09BNN1UI050",0,0.08,0.04,1800,"[ ""Location is not VN"" , ""Location is not RO"" , ""HIT approval rate (%) is greater than 96""]","Categorize addresses as Residential (Homes) or Commercial (Businesses) (Intl)","&lt;h4&gt;Overview&lt;/h4&gt;",21,27,228,228,0,0.8,16,"2013-12-05-20-06",2
"335","279O8JIA0RYNR17QAED09BNNY3O50Q",0,0.045,0.03,2400,"[ ""HIT approval rate (%) is greater than 96""]","Review 5 Keywords for an Image","&lt;div class=&quot;row-fluid&quot;&gt;",482,484,1206,1206,0,0,236,"2013-11-21-20-42",1
"336","279O8JIA0RYNTMEWLKD0DBMO00Q507",NA,0.05,0.05,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,1,135,135,NA,NA,15,"2014-01-28-16-40",40
"337","279O8JIA0RYNXDKF4LD0GBMJX0O055",0.0158730158730159,1.4,0.35,900,"[ ""Total approved HITs is not less than 100"" , ""HIT approval rate (%) is not less than 80""]","Find Two Educational Websites","We are a team of researchers trying to find out what makes a university class fun. We need your help finding two websites related to education.",2,23,30,27,-0.0158730158730159,0.628571428571429,160,"2014-01-16-15-58",4
"338","279O8JIA0RYQGIS1CLD0FBMK21Q052",0,0.2,0.1,1800,"[ ""Location is not KR"" , ""Location is not CN"" , ""Masters has been granted"" , ""Total approved HITs is not less than 1000"" , ""HIT approval rate (%) is not less than 95""]","Rank Where To Break A Document - Like Newspapers Break Articles Between the Front Page and The Full Article","You will read a short news article, then be given potential break points. You will rank how good each break point is.",1,18,700,700,0,0,225,"2013-12-19-00-16",2
"339","279O8JIA0RYR3Q4ENFD0FBMLTVH05G",1.62962962962963,0.02,0.02,3600,"[ ""Categorization Masters has been granted""]","Categorization","Choose the correct category",1,4,497,453,-1.62962962962963,76.3333333333333,15,"2014-02-04-18-14",13
"340","279O8JIA0RYR94QX5ND0GBMJYYK05B",0,0.125,0.25,7200,"[ ""Total approved HITs is not less than 1000"" , ""Action Annotation has been granted"" , ""HIT approval rate (%) is not less than 97""]","Segment and label actions in videos","Denote UNAMBIGUOUS motions in the video provided.",20,365,62,62,0,0,242,"2014-02-08-05-49",1
